,id,retweet_count,favorite_count
348,830583320585068544,18719,71971
349,830173239259324417,6335,0
350,830097400375152640,3346,10575
351,829878982036299777,5574,0
352,829861396166877184,2183,13170
353,829501995190984704,11788,34160
354,829449946868879360,2259,11281
355,829374341691346946,10367,37306
356,829141528400556032,8244,26398
357,829011960981237760,18049,57040
358,828801551087042563,3781,0
359,828770345708580865,6533,27520
360,828708714936930305,12483,39439
361,828650029636317184,1493,10251
362,828409743546925057,1275,6764
363,828408677031882754,1423,8235
364,828381636999917570,2470,13606
365,828376505180889089,1185,7969
366,828372645993398273,3254,13500
367,828361771580813312,191,2360
368,828046555563323392,3179,12684
369,828011680017821696,2383,11156
370,827933404142436356,5815,21724
371,827653905312006145,3343,16661
372,827600520311402496,1052,8002
373,827324948884643840,3406,17138
374,827199976799354881,2498,11417
375,826958653328592898,5574,23310
376,826848821049180160,11445,39414
377,826615380357632002,4388,0
378,826598799820865537,283,5526
379,826598365270007810,2614,10872
380,826476773533745153,4679,19882
381,826240494070030336,2888,14314
382,826204788643753985,1049,5261
383,826115272272650244,3488,16931
384,825876512159186944,2088,11294
385,825829644528148480,2776,13752
386,825535076884762624,19194,56201
387,825147591692263424,5108,19779
388,825120256414846976,1439,0
389,825026590719483904,1439,6875
390,824796380199809024,6121,0
391,824775126675836928,3938,16194
392,824663926340194305,1942,10888
393,824325613288833024,11591,12735
394,824297048279236611,4314,16251
395,824025158776213504,665,5164
396,823939628516474880,3027,11518
397,823719002937630720,12590,0
398,823699002998870016,2697,13595
399,823581115634085888,2959,14099
400,823333489516937216,29,758
401,823322678127919110,4505,17050
402,823269594223824897,11025,0
403,822975315408461824,3848,18742
404,822872901745569793,49134,143411
405,822859134160621569,2551,14286
406,822647212903690241,7167,0
407,822610361945911296,3314,15986
408,822489057087389700,7167,19655
409,822462944365645825,16535,30997
410,822244816520155136,11025,37990
411,822163064745328640,5397,0
412,821886076407029760,2624,12325
413,821813639212650496,3741,0
414,821765923262631936,1862,9141
415,821522889702862852,1974,8689
416,821421320206483457,6258,0
417,821407182352777218,4885,12793
418,821153421864615936,10,276
419,821149554670182400,2256,9479
420,821107785811234820,2384,10419
421,821044531881721856,2563,13708
422,820837357901512704,7501,0
423,820749716845686786,11133,34256
424,820690176645140481,3618,13248
425,820494788566847489,633,0
426,820446719150292993,2894,0
427,820314633777061888,633,3617
428,820078625395449857,7034,21472
429,820013781606658049,1323,0
430,819952236453363712,1323,5780
431,819924195358416896,5427,13973
432,819711362133872643,3512,14598
433,819588359383371776,2208,10379
434,819347104292290561,1347,7844
435,819238181065359361,453,2490
436,819227688460238848,7501,25083
437,819015337530290176,41024,0
438,819015331746349057,21160,0
439,819006400881917954,21160,48974
440,819004803107983360,41024,93709
441,818646164899774465,23382,0
442,818627210458333184,8347,24113
443,818614493328580609,2895,10724
444,818588835076603904,6912,0
445,818536468981415936,2782,11867
446,818307523543449600,9106,0
447,818259473185828864,2558,11963
448,818145370475810820,2916,13366
449,817908911860748288,886,5254
450,817827839487737858,30404,56396
451,817777686764523521,2991,11624
452,817536400337801217,3400,12829
453,817502432452313088,3808,0
454,817423860136083457,16861,37275
455,817415592588222464,1079,6116
456,817181837579653120,9557,0
457,817171292965273600,2256,9483
458,817120970343411712,2938,13199
459,817056546584727552,1854,9316
460,816829038950027264,5308,0
461,816816676327063552,2291,10875
462,816697700272001025,2470,10659
463,816450570814898180,9106,33273
464,816336735214911488,2195,9360
465,816091915477250048,2417,9703
466,816062466425819140,1176,0
467,816014286006976512,5970,0
468,815990720817401858,1176,5435
469,815966073409433600,9557,24481
470,815745968457060357,4637,0
471,815736392542261248,2549,10707
472,815639385530101762,1849,8954
473,815390420867969024,4269,11244
474,814986499976527872,1455,8316
475,814638523311648768,3043,12277
476,814578408554463233,6546,0
477,814530161257443328,2084,9442
478,814153002265309185,9768,31304
479,813944609378369540,3627,0
480,813910438903693312,2115,10117
481,813812741911748608,15763,39577
